"TradXML","FieldRef","FieldID","InfoItem","InfoItemCount","InfoItemsVary","Mnemonic","Description","CondCode","DataType","MinLength","MaxLength","MinOccur","MaxOccur","SpecialChar","NonPrintChar","ContentType","CodeTable","CodeTableOpt","ValueRange","RegExpression","DependPresenceReq","DependPresenceOpt","DependAbsence","DependValue","DependValueReq","DependValueOpt","DependOther","InterFieldOccur","InterFieldCount","InterFieldValue","InterFieldOther","Exception","Summary","TechNotes","Example","XML Tag Name","XML Namespace","Base Type","XMLPath","Notes","OpenIssues","Content Constraints","Format Constraints","Invalid Example"
"tx","10/ASC/ASP","[10.995-B]","B","","","ASP","Associated Segment Position","O^","N","1","2","0","1","","","Data","","","{1..99}","","","","","","","","","","","","","","An index to a particular set of segmentation coordinates of the associated context data. This same segmentation index value appears in Record Type-21 as Field 21.016. There may be up to 99 segments listed in Field 21.016, but only the relevant segment is contained in this information item.","","<nc:IdentificationID>99</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","itl:PackageFacialAndSMTImageRecord/biom:AssociatedContext/biom:ImageSegmentIdentification/nc:IdentificationID","","","","",""
"tx","10/HAS","[10.996]","","","","HAS","Hash","O","H","64","64","0","1","","","Data","","","","","","","","","","","","","","","","","Hash value of data in 10.999: Body part image/DATA.","","<biom:ImageHashValue>5108B86727517A02D8A28AEC62E67E05F9AE7E8913A773641D486841FDE8F941</biom:ImageHashValue>","biom:ImageHashValue","http://niem.gov/niem/biometrics/1.0","biom:ImageHashValueType","itl:PackageFacialAndSMTImageRecord/biom:ImageHashValue","","","","",""
"tx","10/SOR","[10.997]","SET","2","","SOR","Source Representation","O","","","","0","255","","","Set","","","","","","","","","","","","","","","","","Used for Type-10 records that contain a biometric sample derived from a source representation in Record Type-20  (biometric data is stored in Field 10.999).","","","biom:SourceRepresentation","http://niem.gov/niem/biometrics/1.0","biom:SourceRepresentationType","itl:PackageFacialAndSMTImageRecord/biom:SourceRepresentation","","","","",""
"tx","10/SOR/SRN","[10.997-A]","A","","","SRN","Source Representation Number","M^","N","1","3","1","1","","","Data","","","{1..255}","","","","","","","","","","","","","","An index (sequentially assigned positive integer starting from one and incremented by one) to the particular Type-20 record containing the source representation from which the biometric data was derived. This same index value appears in the appropriate instance of Record Type-20 as Field 20.021.","","<nc:IdentificationID>200</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","itl:PackageFacialAndSMTImageRecord/biom:SourceRepresentation/biom:SourceIdentification/nc:IdentificationID","","","","",""
"tx","10/SOR/RSP","[10.997-B]","B","","","RSP","Reference Segment Position","O^","N","1","2","0","1","","","Data","","","{1..99}","","","","","","","","","","","","","","An index to a particular set of segmentation coordinates of the source representation. This same segmentation index value appears in Field 20.016; there may be up to 99 segments listed in Field 20.016, but only the appropriate segment is identified in this information item.","","<nc:IdentificationID>25</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","itl:PackageFacialAndSMTImageRecord/biom:SourceRepresentation/biom:ImageSegmentIdentification/nc:IdentificationID","","","","",""
"tx","10/GEO","[10.998]","SET","15","","GEO","Geographic Sample Acquisition Location","O","","","","0","1","","","Set","","","","","","","","","","","","","","","","","Location where the image was acquired - not where it is stored. There are multiple possible formats for specifying the geographic location in this field (longitude and latitude, geographic coordinate universal transverse Mercator, and alternate coordinate systems).","","","biom:CaptureLocation","http://niem.gov/niem/biometrics/1.0","biom:CaptureLocationType","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation
endif","","","","",""
"T","10/GEO/UTE:T","[10.998-A:T]","A","","","UTE","Universal Time Entry","O^","AN","15","15","0","1","","","Data_T","","","","\d{14}Z","","","","","","","","","","","","","Time and date of acquisition in the format of YYYYMMDDhhmmssZ, where the Z is indicates the zone description of 0 hours. ","","20111105052500Z","","","","","","","","",""
"x","10/GEO/UTE:X","[10.998-A:X]","A","","","UTE","Universal Time Entry (XML)","O^","ANS","20","20","0","1","[-:]","","Data_X","","","","\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z","","","","","","","","","","","","","Time and date of acquisition in the format of YYYY-MM-DDThh:mm:ssZ, where the Z is indicates the zone description of 0 hours. ","","<nc:DateTime>2011-11-05T05:25:00Z</nc:DateTime>","nc:DateTime","http://niem.gov/niem/niem-core/2.0","niem-xsd:dateTime","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureUTCDateTime/nc:DateTime
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureUTCDateTime/nc:DateTime
endif","","","","",""
"x","10/GEO/LTD_10/GEO/GDC","[10.998-B_10.998-I]","","","","","Location Two Dimensional Geographic Coordinate","O","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Two dimensional geographic coordinate.","","","biom:LocationTwoDimensionalGeographicCoordinate","http://niem.gov/niem/biometrics/1.0","biom:TwoDimensionalGeographicCoordinateType","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate
endif","Applies to 10.998-B, 10.998-C, 10.998-D, 10.998-E, 10.998-F, 10.998-G, and 10.998-I.","","","",""
"x","10/GEO/LTD_10/GEO/LTS","[10.998-B_10.998-D]","","","","","Geographic Coordinate Latitude","O","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Geographic coordinate latitude is measurement of the angular distance between a point on the earth and the equator.","","","nc:GeographicCoordinateLatitude","http://niem.gov/niem/niem-core/2.0","nc:LatitudeCoordinateType","if [10/IMT] IN {""FACE""} then
itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude
else    
itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude
endif","Applies to 10.998-B, 10.998-C, 10.998-D, 10.998-E, 10.998-F, and 10.998-G.","","","",""
"tx","10/GEO/LTD","[10.998-B]","B","","","LTD","Latitude Degree Value","D^","NS","1","9","0","1","[.-]","","Data","","","{-90..90}","","10/GEO/LGD","","","","","","","","","","","","Degree of latitude. If latitude degree is a decimal, latitude minute (10.998-C) and latitude second (10.998-D) shall not be used.","","<nc:LatitudeDegreeValue>-70</nc:LatitudeDegreeValue>","nc:LatitudeDegreeValue","http://niem.gov/niem/niem-core/2.0","nc:LatitudeDegreeType","if [10/IMT] IN {""FACE""} then
itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeDegreeValue
else    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeDegreeValue
endif","","","","",""
"tx","10/GEO/LTM","[10.998-C]","C","","","LTM","Latitude Minute Value","D^","NS","1","8","0","1","[.]","","Data","","","{<60}","","10/GEO/LGM","10/GEO/LTD","","","","","","","","","Y","","Minute of a degree. ","If latitude degree (10.998-B) contains a decimal, latitude minute shall be empty.","<nc:LatitudeMinuteValue>40</nc:LatitudeMinuteValue>","nc:LatitudeMinuteValue","http://niem.gov/niem/niem-core/2.0","nc:AngularMinuteType","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeMinuteValue
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeMinuteValue
endif","","","","",""
"tx","10/GEO/LTS","[10.998-D]","D","","","LTS","Latitude Second Value","D^","NS","1","8","0","1","[.]","","Data","","","{>0,<60}","","10/GEO/LGS","10/GEO/LTM","","","","","","","","","Y","","Second of a minute.","If latitude minute (10.998-C) contains a decimal, latitude second shall be empty.","<nc:LatitudeSecondValue>12</nc:LatitudeSecondValue>","nc:LatitudeSecondValue","http://niem.gov/niem/niem-core/2.0","nc:AngularSecondType","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeSecondValue
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLatitude/nc:LatitudeSecondValue
endif","","","","",""
"x","10/GEO/LGD_10/GEO/LGS","[10.998-E_10.998-G]","","","","","Geographic Coordinate Longitude","O","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Geographic coordinate longitude is a measurement of the angular distance between a point on the earth and the prime meridian.","","","nc:GeographicCoordinateLongitude","http://niem.gov/niem/niem-core/2.0","nc:LongitudeCoordinateType","if [10/IMT] IN {""FACE""} then
itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLongitude
else
itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLongitude 
endif","Applies to 10.998-E, 10.998-F, and 10.998-G.","","","",""
"tx","10/GEO/LGD","[10.998-E]","E","","","LGD","Longitude Degree Value","D^","NS","1","10","0","1","[.-]","","Data","","","{-180..180}","","10/GEO/LTD","","","","","","","","","","","","Degree of longitude. If longitude degree is a decimal, longitude minute (10.998-F) and longitude second (10.998-G) shall not be used.","","<nc:LongitudeDegreeValue>30</nc:LongitudeDegreeValue>","nc:LongitudeDegreeValue","http://niem.gov/niem/niem-core/2.0","nc:LongitudeDegreeType","if [10/IMT] IN {""FACE""} then
itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLongitude/nc:LongitudeDegreeValue
else    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLongitude/nc:LongitudeDegreeValue
endif","","","","",""
"tx","10/GEO/LGM","[10.998-F]","F","","","LGM","Longitude Minute Value","D^","NS","1","8","0","1","[.]","","Data","","","{<60}","","10/GEO/LTM","10/GEO/LGD","","","","","","","","","Y","","Minute of a degree. ","If longitude degree (10.998-E) contains a decimal, longitude minute shall be empty.","<nc:LongitudeMinuteValue>59</nc:LongitudeMinuteValue>","nc:LongitudeMinuteValue","http://niem.gov/niem/niem-core/2.0","nc:AngularMinuteType","if [10/IMT] IN {""FACE""} then    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLongitude/nc:LongitudeMinuteValue
else    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLongitude/nc:LongitudeMinuteValue
endif","","","","",""
"tx","10/GEO/LGS","[10.998-G]","G","","","LGS","Longitude Second Value","D^","NS","1","8","0","1","[.]","","Data","","","{>0,<60}","","10/GEO/LTS","10/GEO/LGM","","","","","","","","","Y","","Second of a minute.","If longitude minute (10.998-F) contains a decimal, longitude second shall be empty.","<nc:LongitudeSecondValue>26</nc:LongitudeSecondValue>","nc:LongitudeSecondValue","http://niem.gov/niem/niem-core/2.0","nc:AngularSecondType","if [10/IMT] IN {""FACE""} then    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLongitude/nc:LongitudeSecondValue
else    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/nc:GeographicCoordinateLongitude/nc:LongitudeSecondValue
endif","","","","",""
"tx","10/GEO/ELE","[10.998-H]","H","","","ELE","Elevation","O^","NS","1","8","0","1","[.-]","","Data","","","{>-422.000,<8848.000}","","","","","","","","","","","","","","Elevation in meters; between -422 meters (Dead Sea) and 8848 meters (Mount Everest).","","<nc:MeasurePointValue>555</nc:MeasurePointValue>","nc:MeasurePointValue","http://niem.gov/niem/niem-core/2.0","nc:MeasurePointValueType","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationGeographicElevation/nc:MeasurePointValue
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationGeographicElevation/nc:MeasurePointValue
endif","","","","",""
"tx","10/GEO/GDC","[10.998-I]","I","","","GDC","Geodetic Datum Code","O^","AN","3","6","0","1","","","Data","GDC","Opt","","","","","","","","","","","","","","","Indicates coordinate system used to represent the values in information items 2 through 7. If no entry is made, then basis for values shall be WGS84, the code for the World Geodetic Survey 1984 version - WGS 84 (G873).","","<biom:GeodeticDatumCoordinateSystemCode>EVER</biom:GeodeticDatumCoordinateSystemCode>","biom:GeodeticDatumCoordinateSystemCode
or
biom:GeodeticDatumCoordinateSystemName","http://niem.gov/niem/biometrics/1.0","nc:TextType
or
biom:GeodeticDatumCoordinateSystemCodeType","if [10/IMT] IN {""FACE""} then
    if [10/GEO/GDC] IN {<GDC>} then
itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/biom:GeodeticDatumCoordinateSystemCode
    else
itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/biom:GeodeticDatumCoordinateSystemName
    endif
else
    if [10/GEO/GDC] IN {<GDC>} then 
itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/biom:GeodeticDatumCoordinateSystemCode
    else        itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationTwoDimensionalGeographicCoordinate/biom:GeodeticDatumCoordinateSystemName
    endif
endif","","","","",""
"x","10/GEO/GCM_10/GEO/GCN","[10.998-J_10.998-L]","","","","","Location UTM Coordinate (XML)","O","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Universal Transverse Mercator (UTM) coordinate.","","","nc:LocationUTMCoordinate","http://niem.gov/niem/niem-core/2.0","nc:UTMCoordinateType","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationUTMCoordinate 
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationUTMCoordinate
endif","Applies to 10.998-J, 10.998-K, and 10.998-L.","","","",""
"tx","10/GEO/GCM","[10.998-J]","J","","","GCM","Geographic Coordinate Universal Transverse Mercator Zone","D^","AN","2","3","0","1","","","Data","","","","\d{1,2}[CDEFGHJKLMNPQRSTUVWX]","10/GEO/GCE,10/GEO/GCN","","","","","","","","","","","Y","One or two digit UTM zone number (0..60) followed by the 8 degree latitudinal band designator (single letter between C and X, with the exception of I and O).","UTM zone number = {0..60}","<nc:UTMGridZoneID>18T</nc:UTMGridZoneID>","nc:UTMGridZoneID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationUTMCoordinate/nc:UTMGridZoneID
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationUTMCoordinate/nc:UTMGridZoneID
endif","The tenth, eleventh and twelfth information items are treated as a group and are optional. These three information items together are a coordinate which represents a location within a Universal Transverse Mercator (UTM) coordinate. If any of these three information items is present, all shall be present. The value for this field is a UTM zone number (0..60) followed by band letter between C and X (with the exception of I and O).","","","",""
"tx","10/GEO/GCE","[10.998-K]","K","","","GCE","Geographic Coordinate Universal Transverse Mercator Easting","D^","N","1","6","0","1","","","Data","","","","","10/GEO/GCM,10/GEO/GCN","","","","","","","","","","","","Geographic coordinate UTM easting (part of UTM coordinate).","","<nc:UTMEastingValue>337436</nc:UTMEastingValue>","nc:UTMEastingValue","http://niem.gov/niem/niem-core/2.0","niem-xsd:nonNegativeInteger","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationUTMCoordinate/nc:UTMEastingValue 
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationUTMCoordinate/nc:UTMEastingValue
endif","","","","",""
"tx","10/GEO/GCN","[10.998-L]","L","","","GCN","Geographic Coordinate Universal Transverse Mercator Northing","D^","N","1","8","0","1","","","Data","","","","","10/GEO/GCE,10/GEO/GCM","","","","","","","","","","","","Geographic coordinate UTM northing (part of UTM coordinate).","","<nc:UTMNorthingValue>4747558</nc:UTMNorthingValue>","nc:UTMNorthingValue","http://niem.gov/niem/niem-core/2.0","niem-xsd:nonNegativeInteger","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationUTMCoordinate/nc:UTMNorthingValue
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationUTMCoordinate/nc:UTMNorthingValue
endif","","","","",""
"tx","10/GEO/GRT","[10.998-M]","M","","","GRT","Geographic Reference Text","O^","U","1","150","0","1","","","Data","","","","","","","","","","","","","","","","","Free form text describing a street address or other physical location; used for instances when GPS or other coordinate systems may not be readily available.","","<nc:LocationDescriptionText>Corner of Street One and Street Two, Random City, OK</nc:LocationDescriptionText>","nc:LocationDescriptionText","http://niem.gov/niem/niem-core/2.0","nc:TextType","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationDescriptionText
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/nc:LocationDescriptionText
endif","","","","",""
"x","10/GEO/OSI_10/GEO/OCV","[10.998-N_10.998-O]","","","","","Location Alternate Geographic System Value (XML)","O","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Other coordinate system.","","","biom:LocationAlternateGeographicSystemValue","http://niem.gov/niem/biometrics/1.0","biom:LocationAlternateGeographicSystemValueType","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationAlternateGeographicSystemValue
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationAlternateGeographicSystemValue
endif","Applies to 10.998-N and 10.998-O.","","","",""
"T","10/GEO/OSI:T","[10.998-N:T]","N","","","OSI","Geographic Coordinate Other System Identifier","O^","U","1","10","0","1","","","Data_T","GEO/OSI","Opt","","","","","","","","","","","","","","","Specifies other coordinate system providing location.","","LANDMARK","","","","","","","","",""
"x","10/GEO/OSI:X","[10.998-N:X]","N","","","OSI","Geographic Coordinate Other System Identifier (XML)","M^","U","1","10","1","1","","","Data_X","GEO/OSI","Opt","","","","","","","","","","","","","","","Specifies other coordinate system providing location.","","<biom:GeographicLocationSystemName>LANDMARK</biom:GeographicLocationSystemName>","biom:GeographicLocationSystemName","http://niem.gov/niem/biometrics/1.0","nc:TextType","if [10/IMT] IN {""FACE""} then
itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationAlternateGeographicSystemValue/biom:GeographicLocationSystemName
else
itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationAlternateGeographicSystemValue/biom:GeographicLocationSystemName
endif","","","","",""
"T","10/GEO/OCV:T","[10.998-O:T]","O","","","OCV","Geographic Coordinate Other System Value","D^","U","1","126","0","1","","","Data_T","","","","","","10/GEO/OSI:T","","","","","","","","","Y","","Coordinate system value.","If OSI is LANDMARK, field is free text; otherwise, format depends on OSI.","Hydrant NW 31","","","","","","","","",""
"x","10/GEO/OCV:X","[10.998-O:X]","O","","","OCV","Geographic Coordinate Other System Value (XML)","M^","U","1","126","1","1","","","Data_X","","","","","","10/GEO/OSI:X","","","","","","","","","Y","","Coordinate system value.","If OSI is LANDMARK, field is free text; otherwise, format depends on OSI.","<biom:GeographicLocationText>Hydrant NW 31</biom:GeographicLocationText>","biom:GeographicLocationText","http://niem.gov/niem/biometrics/1.0","nc:TextType","if [10/IMT] IN {""FACE""} then
itl:PackageFacialAndSMTImageRecord/biom:FaceImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationAlternateGeographicSystemValue/biom:GeographicLocationText
else    
itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/biom:ImageCaptureDetail/biom:CaptureLocation/biom:LocationAlternateGeographicSystemValue/biom:GeographicLocationText
endif","","","","",""
"TX","10/DATA","[10.999]","","","","DATA","Body Part Image","M","B","1","*","1","1","","","Data","","","","","","","","","","","","","","","","","Contains the image.","","<nc:BinaryBase64Object>mrHbPdrko3u1s7ahtgPBjtmO1s85tfG2U7bpofY94Czu2SbY7d7wF9fQ7ZptgGrtkO2a2dsJ7wZbe8BlzvAmQ7xq+Y94GoHeEsR3ikWd4DIGhzmp3k42d4DRmzs94DKveDTB3hqw6PeBLrtpPep0H/+h</nc:BinaryBase64Object>","nc:BinaryBase64Object","http://niem.gov/niem/niem-core/2.0","niem-xsd:base64Binary","if [10/IMT] IN {""FACE""} then
    itl:PackageFacialAndSMTImageRecord/biom:FaceImage/nc:BinaryBase64Object
else
    itl:PackageFacialAndSMTImageRecord/biom:PhysicalFeatureImage/nc:BinaryBase64Object
endif","Binary for Traditional encoding or Base64 for XML","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X","13","[13]","","","","","Package Latent Image Record (XML)","O","","","","0","*","","","Set_X","","","","","","","","","","","","","","","","","Image data acquired from latent captures of friction ridge images.","","","itl:PackageLatentImageRecord","http://biometrics.nist.gov/standard/2011","itl:PackageLatentImageRecordType","itl:PackageLatentImageRecord","","","","",""
"T","13/LEN:T","[13.001:T]","","","","LEN","Record Header","M","N","4","8","1","1","","","Data_T","","","","","","","","","","","","","","","","","Record length in bytes.","","","","","","","","","","",""
"X","13/XRCC:X","[13.001:X]","","","","XRCC","XML Record Category Code","M","N","1","2","1","1","","","Data_X","","","{13}","","","","","","","","","","","","","","Numeric representation of Record Type.","","<biom:RecordCategoryCode>13</biom:RecordCategoryCode>","biom:RecordCategoryCode","http://niem.gov/niem/biometrics/1.0","biom:RecordCategoryCodeType","itl:PackageLatentImageRecord/biom:RecordCategoryCode","","","","",""
"TX","13/IDC","[13.002]","","","","IDC","Information Designation Character","M","N","1","2","1","1","","","Data","","","{0..99}","","","","","","","","","","","","","","IDC assigned to this Type-13 record as listed in 1.003.","","<nc:IdentificationID>6</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","itl:PackageLatentImageRecord/biom:ImageReferenceIdentification/nc:IdentificationID","","","","",""
"X","13/IMP_13/DATA","[13.003_13.999]","","","","","Image Type (XML)","M","","","","1","1","","","Set_X","","","","","","","","","","","","","","","","","Image and associated information.","","","biom:FingerImpressionImage
or
biom:FrictionRidgeImage
or
biom:PalmprintImage
or
biom:PlantarImage","http://niem.gov/niem/biometrics/1.0","biom:PlantarImageType
or
biom:FrictionRidgeImageType
or
biom:FingerImpressionImageType
or
biom:PalmprintImageType","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage or
    itl:PackageLatentImageRecord/biom:PalmprintImage or
    itl:PackageLatentImageRecord/biom:PlantarImage or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage
endif","Applies to 13.003, 13.004, 13.005, 13.006, 13.007, 13.008, 13.009, 13.010, 13.011, 13.012, 13.013, 13.014, 13.015, 13.016, 13.017, 13.020, 13.024, 13.903, 13.904, 13.993, 13.998, 13.999. XML elements itl:FingerprintImage and itl:PalmprintImage are not listed in ANSI/NIST documentation, but are included in the XML schemas to allow for backward compatibility.","","","",""
