"CodeTable","Code","Description","CodeGroup","PrimaryDescription","Notes","OpenIssues"
"MPEG4FP","6.3","Left border of the tongue","Mouth","","",""
"MPEG4FP","6.4","Right border of the tongue","Mouth","","",""
"MPEG4FP","7.1","Top of spine (center of head rotation)","Mouth","","",""
"MPEG4FP","8.1","Middle point of outer upper lip contour","Mouth","","",""
"MPEG4FP","8.10","Left high point of Cupid's bow on lip contour","Mouth","","",""
"MPEG4FP","8.2","Middle point of outer lower lip contour","Mouth","","",""
"MPEG4FP","8.3","Left corner of outer lip contour","Mouth","","",""
"MPEG4FP","8.4","Right corner of outer lip contour","Mouth","","",""
"MPEG4FP","8.5","Midpoint between feature points 8.3 and 8.10 in outer upper lip contour","Mouth","","",""
"MPEG4FP","8.6","Midpoint between feature points 8.4 and 8.9 in outer upper lip contour","Mouth","","",""
"MPEG4FP","8.7","Midpoint between feature point 8.3 and 8.2 in outer lower lip contour","Mouth","","",""
"MPEG4FP","8.8","Midpoint between feature points 8.4 and 8.2 in outer lower lip contour","Mouth","","",""
"MPEG4FP","8.9","Right high point of Cupid's bow on lip contour","Mouth","","",""
"MPEG4FP","9.10","Bottom of the upper teeth","Mouth","","",""
"MPEG4FP","9.1","Left nostril border (alare: most lateral point on each alar contour)","Nose","","",""
"MPEG4FP","9.11","Top of the lower teeth","Mouth","","",""
"MPEG4FP","9.12","Middle lower edge of nose bone (or nose bump)","Nose","","",""
"MPEG4FP","9.13","Left lower edge of nose bone","Nose","","",""
"MPEG4FP","9.14","Right lower edge of nose bone","Nose","","",""
"MPEG4FP","9.15","Bottom middle edge of nose (subnasale: midpoint of the angle at the columella base where the lower border of the nasal septum and the surface of the upper lip meet)","Nose","","",""
"MPEG4FP","9.2","Right nostril border (alare: most lateral point on each alar contour)","Nose","","",""
"MPEG4FP","9.3","Nose tip (pronasale: the most protruded point of the apex nasi)","Nose","","",""
"MPEG4FP","9.4","Bottom right edge of nose","Nose","","",""
"MPEG4FP","9.5","s is defined. If 9/FSP=1, then (either 9/COR or 9/NCOR is required) a","Nose","","",""
"MPEG4FP","9.6","Right upper edge of nose bone","Nose","","",""
"MPEG4FP","9.7","Left upper edge of nose bone","Nose","","",""
"MPEG4FP","9.8","Top of the upper teeth","Mouth","","",""
"MPEG4FP","9.9","Bottom of the lower teeth","Mouth","","",""
"MPEG4FP","10.1","Top of left ear (superaurale: highest point of the free margin of the auricle)","Ear","","",""
"MPEG4FP","10.10","Upper contact point between right ear and face (preaurale: most anterior point on the ear, located just in front of the helix attachment to the head)","Ear","","",""
"MPEG4FP","10.2","Top of right ear (superaurale: highest point of the free margin of the auricle)","Ear","","",""
"MPEG4FP","10.3","Back of left ear (otobasion superius: point of attachment of the helix in the temporal region)","Ear","","",""
"MPEG4FP","10.4","Back of right ear (otobasion superius: point of attachment of the helix in the temporal region)","Ear","","",""
"MPEG4FP","10.5","Bottom of left ear lobe (subaurale: lowest point of the free margin of the ear lobe)","Ear","","",""
"MPEG4FP","10.6","Bottom of right ear lobe (subaurale: lowest point of the free margin of the ear lobe)","Ear","","",""
"MPEG4FP","10.7","Lower contact point between left lobe and face","Ear","","",""
"MPEG4FP","10.8","Lower contact point between right lobe and face","Ear","","",""
"MPEG4FP","10.9","Upper contact point between left ear and face (preaurale: most anterior point on the ear, located just in front of the helix attachment to the head)","Ear","","",""
"MPEG4FP","11.1","Trichion: The point on the hairline in the midline of the forehead","Hair","","",""
"MPEG4FP","11.2","Right border between hair and forehead","Hair","","",""
"MPEG4FP","11.3","Left border between hair and forehead","Hair","","",""
"MPEG4FP","11.4","Top of skull","Head","","",""
"MPEG4FP","11.5","Hair thickness over top of skull (11.4)","Hair","","",""
"MPEG4FP","11.6","Back of skull","Head","","",""
"MPEG4FP","12.1","Center of left eye (horizontal and vertical midpoints of eye corners)","Eye","","",""
"MPEG4FP","12.2","Center of right eye (horizontal and vertical midpoints of eye corners)","Eye","","",""
"MPEG4FP","12.3","Center of left nostril (midpoint of nose feature points 9.1 & 9.15 in the horizontal direction and 9.3 & 9.15 in the vertical direction)","Nose","","",""
"MPEG4FP","12.4","Center of right nostril (midpoint of nose feature points 9.2 & 9.15 in the horizontal direction and 9.3 & 9.15 in the vertical direction)","Nose","","",""
"MRA","EFTS7","Identical to OCTANT algorithm, except that ridge count values are one more than the number of intervening ridges. This was the format used by the FBI in its EFTS Version 7.1","","","MRA = Table 44",""
"MRA","OCTANT","The minutiae used for ridge counts are the nearest neighbors in eight octants, with the center of the 0th octant defined by the current minutia's theta, and the 1st through 7th octants proceeding counter clockwise. Ridge count values are set to number of intervening ridges. (Default)","","","",""
"MRA","QUADRANT","The minutiae used for ridge counts are the nearest neighbors in four quadrants, defined by the image's vertical and horizontal axes. The quadrants, with the 1st quadrant at the upper right and the 2nd through 4th quadrants proceeding counterclockwise. Ridge count values are set to the number of intervening ridges","","","",""
"MRC/MRS","0","Neighboring minutia lies in the clockwise half of the octant","","","",""
"MRC/MRS","1","Neighboring minutia lies in the counterclockwise half of the octant","","","",""
"MTD","A","Ridge ending","","","MTD = Table 15 in ANSI/NIST-ITL 2007",""
"MTD","B","Bifurcation","","","",""
"MTD","C","Compound (trifurcation and crossover)","","","",""
"MTD","D","Type undetermined","","","",""
"OCT","C","Shadow cast  ","","","OCT = Table 21",""
"OCT","H","Hair, hat, veil, burka, or other head covering (face only)","","","",""
"OCT","L","Eyelashes or reflections of eyelashes (iris only)","","","",""
"OCT","O","Any other occlusion, such as eyeglass frames blocking the image","","","",""
"OCT","R","Reflection of an object","","","",""
"OCT","S","Specularity, reflection of light  ","","","",""
"OCY","I","Interference: The occlusion contains interfering texture such as eyelashes, hair or reflection.","","","OCY = Table 20",""
"OCY","L","Partial Light: There is detail in the area of the occlusion that is lighter than the rest of the face or iris.","","","",""
"OCY","S","Partial shadow: There is detail in the area of the occlusion that is darker than the rest of the face or iris.","","","",""
"OCY","T","Total: There is no detail in the area of the occlusion.","","","",""
"PAS/PAC","ANALOG VIDEO","Single video frame from an analog video camera","","","PAS/PAC = Table 61",""
"PAS/PAC","DIGITAL CAMERA","Static photograph from a digital still-image camera","","","",""
"PAS/PAC","DIGITAL VIDEO","Single video frame from a digital video camera","","","",""
"PAS/PAC","OTHER","Another source image","","","",""
"PAS/PAC","SCANNER","Static photograph from a scanner","","","",""
"PAS/PAC","TYPE20","Record Type-20 original source representation","","","",""
"PAS/PAC","UNKNOWN PHOTO","Static photograph from an unknown source","","","",""
"PAS/PAC","UNKNOWN VIDEO","Single video frame from an unknown source","","","",""
"PAS/PAC","UNSPECIFIED","Unspecified or unknown","","","",""
"PAS/PAC","VENDOR","Vendor specific source","","","",""
"PAT","AU","Arch","","","PAT = Table 32",""
"PAT","DR","Dissociated Ridges/Dysplasia (Unable to classify)","","","",""
"PAT","LS","Left Slant Loop","","","",""
"PAT","RS","Right Slant Loop","","","",""
"PAT","SR","Complete Scar (Unable to classify)","","","",""
"PAT","UC","Unable to Classify","","","",""
"PAT","UP","Temporarily unable to print (e.g., bandaged)","","","",""
"PAT","WU","Whorl","","","",""
"PAT","XX","Amputation (Unable to print)","","","",""
"PAT/SUB","AW","Accidental Whorl","","","PAT/SUB = Table 32",""
"PAT/SUB","CP","Central Pocket Loop Whorl","","","",""
"PAT/SUB","DL","Double Loop Whorl","","","",""
"PAT/SUB","PA","Plain Arch","","","",""
"PAT/SUB","PW","Plain Whorl","","","",""
"PAT/SUB","TA","Tented Arch","","","",""
"PAT/WDR","I","Inner (ridge flow from left delta is above right delta)","","","",""
"PAT/WDR","M","Meeting (ridge flow from left delta meets right delta)","","","",""
"PAT/WDR","O","Outer (ridge flow from left delta is below right delta)","","","",""
"PCS","T","Pattern classification code is from Table 16","","","Code Table is found in ANSI/NIST-ITL 2007",""
"PCS","U","Code is user-defined","","","",""
"PED/PMS","K","Known","","","",""
"PED/PMS","U","Unknown","","","",""
"PGS/TGS","B","Both: impression may be larger or smaller than exemplars or other prints from the same subject","","","PGS/TGS = Table 38",""
"PGS/TGS","G","Growth: impression is believed to be larger than exemplars or other prints from the same subject","","","",""
"PGS/TGS","S","Shrinkage: impression is believed to be smaller than exemplars or other prints from the same subject","","","",""
"PLR","L","Image is known to be laterally reversed.","","","PLR = Table 37",""
"PLR","U","Image may be laterally reversed","","","",""
"POS","A","Angled Pose","","","POS = Table 60",""
"POS","D","Determined 3D Pose","","","",""
"POS","F","Full Face Frontal","","","",""
"POS","L","Left Profile (-90 degree)","","","",""
"POS","R","Right Profile (90 degree)","","","",""
"PPD","DST","Distal segment","Finger segments","","PPD & PPDLOS = Table 9",""
"PPD","EJI","Entire joint image","Full finger views","","",""
"PPD","FV1","Full finger rolled image","Full finger views","","",""
"PPD","FV2","Full finger plain image - left side","Full finger views","","",""
"PPD","FV3","Full finger plain image - center","Full finger views","","",""
"PPD","FV4","Full finger plain image - right side","Full finger views","","",""
"PPD","MED","Medial segment","Finger segments","","",""
"PPD","NA","Only a proximal, distal or medial segment is available","Other","","",""
"PPD","PRX","Proximal segment","Finger segments","","",""
"PPD","TIP","Rolled tip","Extreme tips","","",""
"PPDLOS","DST","Distal segment","","","PPDLOS is separated from PPD because it has a different meaning for the code NA",""
"PPDLOS","MED","Medial segment","","","",""
"PPDLOS","NA","Image portion refers to a full finger view, tip or to the entire joint image locations","","","",""
"PPDLOS","PRX","Proximal segment","","","",""
"PTP","0","Person (DNA sample collected from an identified or referenced individual)","","","",""
"PTP","1","Stain (DNA sample collected from an unknown human remain or piece of evidence)","","","",""
"QVU","254","No attempt to calculate a quality score was made","","","",""
"QVU","255","Failed attempt to calculate a quality score","","","",""
"RCC/MORC","A","Auto: The ridge count was automatically performed without human review","","","RCC/MORC = Table 45",""
"RCC/MORC","M","Manual Ridge Count: The ridge count was determined or validated manually by a human examiner","","","",""
"RCC/MORC","T","Manual Tracing: The ridge count was automatically determined, based on a skeletonized image created by a human examiner","","","",""
"RCI/REM","0","No assumption shall be made about the method used to extract ridge counts, nor their order in the record","","","",""
"RCI/REM","1","For each center minutiae, ridge count data was extracted to the nearest neighboring minutiae in four quadrants","","","",""
"RCI/REM","2","For each center minutiae, ridge count data was extracted to the nearest neighboring minutiae in eight octants","","","",""
"REC","1","Transaction information","","","REC = Table 3 ",""
"REC","2","User-defined descriptive text","","","",""
"REC","4","High-resolution grayscale fingerprint image","","","",""
"REC","7","User-defined image","","","",""
"REC","8","Signature image","","","",""
"REC","9","Minutiae data","","","",""
"REC","01","Transaction information","","","",""
"REC","02","User-defined descriptive text","","","",""
"REC","04","High-resolution grayscale fingerprint image","","","",""
"REC","07","User-defined image","","","",""
"REC","08","Signature image","","","",""
"REC","09","Minutiae data","","","",""
"REC","10","Face, other body part, or scar, mark, tattoo (SMT) image","","","",""
"REC","13","Variable-resolution latent friction ridge image","","","",""
"REC","14","Variable-resolution fingerprint image","","","",""
"REC","15","Variable-resolution palmprint image","","","",""
"REC","16","User-defined variable-resolution testing image","","","",""
"REC","17","Iris image","","","",""
"REC","18","DNA data","","","",""
"REC","19","Variable-resolution plantar image","","","",""
"REC","20","Source representation","","","",""
"REC","21","Associated context","","","",""
"REC","98","Information assurance","","","",""
"REC","99","CBEFF biometric data record","","","",""
"REF/CLT","D","Discontinuity (point where a ridge stops briefly)","","","",""
"REF/CLT","I","Indentation (abrupt decreases in ridge width)","","","",""
"REF/CLT","P","Protrusion (abrupt increases in ridge width)","","","",""
"RES","0","Unable to process","","","RES = Table 83",""
"RES","1","No hit","","","",""
"RES","2","Hit","","","",""
"RES","3","Hit, high/exact","","","",""
"RES","4","Hit, moderate","","","",""
"RES","5","Hit, low","","","",""
"RES","6","Additional results / details","","","",""
"RES","7","user-defined 2","","","",""
"RES","8","user-defined 3","","","",""
"RES","9","user-defined 4","","","",""
"RES","10","user-defined 5","","","",""
"RFF/RDF","B64","Base-64 format ridge flow map","","","RFF/RDF = Table 35. For base-64, each ridge flow value is a 1-character base-64 value. The angles are divided by three to enable storing in a single base-64 character, which has the effect of quantizing to three degrees. Undefined angles: If the direction cannot be determined at a given location, the location at that point shall be marked as ""*""
(asterisk). All of the ridge flow values for a given row shall be concatenated in order left to right and saved as a separate instance / repeating subfield of Field
9.310. The number of characters in one instance of Field 9.310: EFS ridge flow map / RFM is the number of cells in one row.",""
"RFF/RDF","UNC","Uncompressed (concatenated hexadecimal) ridge flow map","","","For uncompressed, each ridge flow value is a 2-character hexadecimal value. The angles are stored in 2-character hexadecimal representation with leading zeros, so valid values range from ""00"" (0dec) to ""B3"" (179dec). Undefined angles: If the direction cannot be determined at a given location, the location at that point shall be
marked as ""XX"". All of the ridge flow values for a given row shall be concatenated in order left to right and saved as a separate instance / repeating
subfield of Field 9.310: EFS ridge flow map / RFM. The number of characters in one repeating subfield of Field 9.310 is twice the number of cells in one row.",""
"RQM","0","Background (no ridge information)","","","RQM = Table 33",""
"RQM","1","Debatable ridge flow (continuity of ridge flow is uncertain)","","","",""
"RQM","2","Definitive ridge flow, debatable minutiae (continuity of ridge flow is certain; minutiae are debatable)","","","",""
"RQM","3","Definitive minutiae, debatable ridge edges (minutiae, and ridge flow are obvious and unambiguous; ridge edges are debatable)","","","",""
"RQM","4","Definitive ridge edges, debatable pores (Ridge edges, minutiae, and ridge flow are obvious and unambiguous; pores are either debatable or not present)","","","",""
"RQM","5","Definitive pores (Pores and ridge edges are obvious and unambiguous)","","","",""
"RQF/RDF","RLE","Run-length encoded ridge quality map","","","RQF/RDF = Table 34. 
For RLE, the unencoded values for each entry are identical to those used in UNC format. The numeric values for each grid cell (0-5) are then replaced with alphabetic equivalents (A-F), and then any sequential runs of the same character are prefixed by the decimal count of repeated characters. Individual characters are not preceded by a count.
For example:
00000000000000000000000000000000000000000000000000 (50 characters)
Is saved as ""50A""
0000000000001122334555555444442210000000000000000 (50 characters)
Is saved as ""12A2B2C2DE6F5E2CB16A"" (20 characters)",""
"RQF/RDF","UNC","Uncompressed ridge quality map","","","For UNC, the values for each grid cell in the Ridge Quality Map field are single-character integers as defined in Table 33, with one character per cell. All quality values for one row are concatenated left to right, with one repeating subfield of Field 9.308: EFS ridge quality/confidence map / RQM for each row. The number of characters in one repeating subfield of Field 9.308 is the same as the number of cells in one row: the Region of Interest's width divided by the Grid Size, rounded up to the nearest integer",""
"RSN","A","Data was automatically read, encoded, and recorded without any possibility of human editing","","","RSN table found in ANSI/NIST-ITL 2007",""
"RSN","U","Human editing was possible but unneeded","","","",""
"RSN","E","Data was automatically read but manually edited before encoding and recording","","","",""
"RSN","M","Data was manually read","","","",""
"SAP","0","  Unknown acquisition profile","","","SAP = Table 10",""
"SAP","1","  Surveillance facial image","","","",""
"SAP","10","  Driver's license image (AAMVA)","","","",""
"SAP","11","  ANSI Full Frontal facial image (ANSI 385)","","","",""
"SAP","12","  ANSI Token facial image (ANSI 385)","","","",""
"SAP","13","  ISO Full Frontal facial image (ISO/IEC 19794-5)","","","",""
"SAP","14","  ISO Token facial image (ISO/IEC 19794-5)","","","",""
"SAP","15","  PIV facial image (NIST SP 800-76)","","","",""
"SAP","20","  Legacy Mugshot","","","",""
"SAP","30","  Best Practice Application - Level 30","","","",""
"SAP","32","  Mobile ID Best Practice - Level 32","","","More info for Mobile Device SAP Levels found in Table 11 of AN 2011",""
"SAP","40","  Best Practice Application - Level 40","","","",""
"SAP","42","  Mobile ID Best Practice - Level 42","","","More info for Mobile Device SAP Levels found in Table 11 of AN 2011",""
"SAP","50","  Best Practice Application - Level 50","","","",""
"SAP","51","  Best Practice Application - Level 51","","","",""
"SAP","52","  Mobile ID Best Practice - Level 52","","","More info for Mobile Device SAP Levels found in Table 11 of AN 2011",""
"SCT","0","Blood","","","SCT = Table 82",""
"SCT","1","Bone","","","",""
"SCT","2","Co-mingled Biological Material","","","",""
"SCT","3","Hair","","","",""
"SCT","4","Saliva","","","",""
"SCT","5","Semen","","","",""
"SCT","6","Skin","","","",""
"SCT","7","Sweat or Fingerprint","","","",""
"SCT","8","Tissue","","","",""
"SCT","9","Tooth","","","",""
"SCT","10","Other","","","",""
"SCT","11","Unknown","","","",""
"SDI/DRA","0","No","","","",""
"SDI/DRA","1","Yes","","","",""
"SDI/DRA","2","Unknown","","","",""
"SDI/DSD","0","Subject of the transaction","","","",""
"SDI/DSD","1","Claimed, purported or validated relative","","","",""
"SDI/DSD","2","Unknown source","","","",""
"SDI/GID","M","Male","","","",""
"SDI/GID","F","Female","","","",""
"SDI/GID","U","Unknown","","","",""
"SDI/SDS","0","Deceased","","","",""
"SDI/SDS","1","Missing Person","","","",""
"SDI/SDS","2","Unknown","","","",""
"SHC","BAL","Bald","","","SHC = Table 63",""
"SHC","BLK","Black","","","",""
"SHC","BLN","Blonde or Strawberry","","","",""
"SHC","BLU","Blue","","","",""
"SHC","BRO","Brown","","","",""
"SHC","GRN","Green","","","",""
"SHC","GRY","Gray or Partially Gray","","","",""
"SHC","ONG","Orange","","","",""
"SHC","PLE","Purple","","","",""
"SHC","PNK","Pink","","","",""
"SHC","RED","Red or Auburn","","","",""
"SHC","SDY","Sandy","","","",""
"SHC","STR","Streaked","","","",""
"SHC","WHI","White","","","",""
"SHC","XXX","Unspecified or unknown","","","",""
"SIG","0","Signature image of the subject","","","",""
"SIG","1","Signature image of the official processing the transaction","","","",""
"SLC","0","No scale is provided","",""," A value of 0 for a latent print indicates that the true ppi value of the image is not known. For non-contact images of body parts, SLC shall be set to 0 unless the object being imaged is a fixed distance from the capture device and the ppi or ppmm values for the capture device are accurately known at that fixed distance.",""
"SLC","1","Pixels per inch (ppi)","","","For contact exemplar friction ridge images, a value of 1 or 2 shall be specified. For a value of 1 or 2, the transmitted horizontal and vertical scales shall be the same. A value of 1 or 2 shall also be specified for latent friction ridge prints if the lifted latent print is transmitted directly from a scanner. If the latent print is contained in a photograph, a value of 1 or 2 shall be entered only if the image of the latent was captured with a scale measurement  visible in the image and the pixels across an inch or centimeter can be calculated - given the known characteristics of the camera and its distance from the latent print.",""
"SLC","2","Pixels per centimeter (ppcm)","","","For contact exemplar friction ridge images, a value of 1 or 2 shall be specified. For a value of 1 or 2, the transmitted horizontal and vertical scales shall be the same. A value of 1 or 2 shall also be specified for latent friction ridge prints if the lifted latent print is transmitted directly from a scanner. If the latent print is contained in a photograph, a value of 1 or 2 shall be entered only if the image of the latent was captured with a scale measurement  visible in the image and the pixels across an inch or centimeter can be calculated - given the known characteristics of the camera and its distance from the latent print.",""
"SMD/TAC","ABSTRACT","Abstract tattoo","","","SMD/TAC = Table 67",""
"SMD/TAC","ANIMAL","Animal tattoo","","","",""
"SMD/TAC","FLAG","Flag tattoo","","","",""
"SMD/TAC","HUMAN","Human tattoo","","","",""
"SMD/TAC","OBJECT","Object tattoo","","","",""
"SMD/TAC","OTHER","Other tattoo","","","",""
"SMD/TAC","PLANT","Plant tattoo","","","",""
"SMD/TAC","SYMBOL","Symbol tattoo","","","",""
"SMD/TSC","  ABSTRACT","Abstract Animals","Animal","","SMD/TSC = Table 67",""
"SMD/TSC","  ANKLET","Anklet","Abstract","","",""
"SMD/TSC","  BIRD","Birds (Cardinal, Hawk, etc.)","Animal","","",""
"SMD/TSC","  BLUEFL","Blue Flowers","Plant","","",""
"SMD/TSC","  BODBND","Body Band","Abstract","","",""
"SMD/TSC","  BRACE","Bracelet","Abstract","","",""
"SMD/TSC","  BRIT","British Flag","Flag","","",""
"SMD/TSC","  CAT","Cats & Cat Heads","Animal","","",""
"SMD/TSC","  CONFED","Confederate Flag","Flag","","",""
"SMD/TSC","  DOG","Dogs & Dog Heads","Animal","","",""
"SMD/TSC","  DOMESTIC","Other Domestic Animals","Animal","","",""
"SMD/TSC","  DRAGON","Dragons","Animal","","",""
"SMD/TSC","  DRAW","Drawings of Flowers","Plant","","",""
"SMD/TSC","  FIGURE","Figure(s)","Abstract","","",""
"SMD/TSC","  FIRE","Fire","Object","","",""
"SMD/TSC","  FRATERNAL","Fraternal Symbols","Symbol","","",""
"SMD/TSC","  FREEFRM","Freeform Drawings","Other","","",""
"SMD/TSC","  GANG","Gang Symbols","Symbol","","",""
"SMD/TSC","  HEDBND","Head Band","Abstract","","",""
"SMD/TSC","  HORSE","Horses (Donkeys, Mules, etc.)","Animal","","",""
"SMD/TSC","  INSECT","Spiders, Bugs, and Insects","Animal","","",""
"SMD/TSC","  LILY","Lily","Plant","","",""
"SMD/TSC","  MABSTRACT","Miscellaneous","Abstract","","",""
"SMD/TSC","  MANIMAL","Miscellaneous Animal Forms","Animal","","",""
"SMD/TSC","  MFLAG","Miscellaneous Flags","Flag","","",""
"SMD/TSC","  MILITARY","Military Symbols","Symbol","","",""
"SMD/TSC","  MISC","Miscellaneous Images","Other","","",""
"SMD/TSC","  MOBJECTS","Miscellaneous Objects","Object","","",""
"SMD/TSC","  MPLANT","Misc. Plants, Flowers, Vegetables","Plant","","",""
"SMD/TSC","  MSYMBOLS","Miscellaneous Symbols","Symbol","","",""
"SMD/TSC","  MYTH","Mythical (Unicorns, etc.)","Object","","",""
"SMD/TSC","  NARCOTICS","Narcotics","Plant","","",""
"SMD/TSC","  NATION","National Symbols","Symbol","","",""
"SMD/TSC","  NATURE","Water & Nature Scenes (Rivers, Sky, Trees, etc.)","Object","","",""
"SMD/TSC","  NAZI","Nazi Flag","Flag","","",""
"SMD/TSC","  NECKLC","Necklace","Abstract","","",""
"SMD/TSC","  PARTS","Animal Parts","Animal","","",""
"SMD/TSC","  PLANE","Airplanes and other Air vehicles (incl. Blimps)","Object","","",""
"SMD/TSC","  POLITIC","Political Symbols","Symbol","","",""
"SMD/TSC","  PROFESS","Professional Symbols","Symbol","","",""
"SMD/TSC","  REDFL","Red Flowers","Plant","","",""
"SMD/TSC","  ROSE","Rose","Plant","","",""
"SMD/TSC","  SHIRT","Shirt","Abstract","","",""
"SMD/TSC","  SLEEVE","Sleeve","Abstract","","",""
"SMD/TSC","  SNAKE","Snakes","Animal","","",""
"SMD/TSC","  SPORT","Sporting Objects (Football, Ski, Hurdles, etc.)","Object","Y","",""
"SMD/TSC","  STATE","State Flag","Flag","","",""
"SMD/TSC","  TRAIN","Trains","Object","","",""
"SMD/TSC","  TULIP","Tulip","Plant","","",""
"SMD/TSC","  USA","American Flag","Flag","","",""
"SMD/TSC","  VEHICLE","Cars, Trucks, and other Land Vehicles (except Trains)","Object","","",""
"SMD/TSC","  VESSEL","Boats, Ships, & Other Water Vessels","Object","","",""
"SMD/TSC","  VICIOUS","Vicious Animals (Lions, etc.)","Animal","","",""
"SMD/TSC","  WEAP","Weapons (Guns, Arrows, etc.)","Object","","",""
"SMD/TSC","  WILD","Other Wild Animals","Animal","","",""
"SMD/TSC","  WORDING","Wording (Mom, Dad, Mary, etc.)","Other","","",""
"SMD/TSC","  YELFL","Yellow Flowers","Plant","","",""
"SMD/TSC","ABBODY","Abstract Body","Human","","",""
"SMD/TSC","ABBPART","Abstract Body Parts","Human","","",""
"SMD/TSC","ABFACE","Abstract Face","Human","","",""
"SMD/TSC","FBODY","Female Body","Human","","",""
"SMD/TSC","FBPART","Female Body Parts","Human","","",""
"SMD/TSC","FFACE","Female Face","Human","","",""
"SMD/TSC","MBODY","Male Body","Human","","",""
"SMD/TSC","MBPART","Male Body Parts","Human","","",""
"SMD/TSC","MFACE","Male Face","Human","","",""
"SMD/TSC","MHUMAN","Miscellaneous Human Forms","Human","","",""
"SMD/TSC","ROLES","Roles (Knight, Witch, man, etc.)","Human","","",""
"SMD/TSC","SKULL","Skulls","Human","","",""
"SMD/TSC","SPORT","Sports Figures (Football Player, Skier, etc.)","Human","","",""
"SMI","BRANDED","Image burned into the skin using branding iron or other heat source","Tattoo","","SMI = Table 58",""
"SMI","CHEMICAL","Image created by the use of chemicals to burn the image into skin","Tattoo","","",""
"SMI","CUT","Image caused by incision of the skin","Tattoo","","",""
"SMI","MARK","Pattern resulting from needle or track marks","Mark","","MARK is needle marks, NCIC code NM",""
"SMI","PIERCING","Deliberately made hole through body tissue, usually to wear body ornamentation","Scar","","NCIC code PRCD",""
"SMI","SCAR","Healed scar tissue that was result of an accident or medical procedure","Scar","","NCIC code SC",""
"SMI","TATTOO","Tattoo or indelible image resulting from the pricking of the skin with a coloring matter","Tattoo","","",""
"SMT","ART ARM","Arm, nonspecific, artificial","Other","","ANSI/NIST Appendix D provides a link to the 2011 NCIC Code Handbook for values, but also states values in the 2007 & 2008 versions but not in the 2011 version are acceptable for backward compatibility.",""
"SMT","ART BRSTS","Breast implant, left and right","Other","","",""
"SMT","ART ELBOW","Artificial elbow joint","Other","","",""
"SMT","ART HIP","Artificial hip joint","Other","","",""
"SMT","ART KNEE","Artificial knee joint","Other","","",""
"SMT","ART L ARM","Arm, left, artificial","Other","","",""
"SMT","ART L BRST","Breast implant, left","Other","","",""
"SMT","ART L EAR","Ear, left, artificial","Other","","",""
"SMT","ART L EYE","Eye, left, artificial","Other","","",""
"SMT","ART L FT","Foot, left, artificial","Other","","",""
"SMT","ART L HND","Hand, left, artificial","Other","","",""
"SMT","ART L LEG","Leg, left, artificial","Other","","",""
"SMT","ART LARYNX","Artificial larynx","Other","","",""
"SMT","ART R ARM","Arm, right, artificial","Other","","",""
"SMT","ART R BRST","Breast implant, right","Other","","",""
"SMT","ART R EAR","Ear, right, artificial","Other","","",""
"SMT","ART R EYE","Eye, right, artificial","Other","","",""
"SMT","ART R FT","Foot, right, artificial","Other","","",""
"SMT","ART R HND","Hand, right, artificial","Other","","",""
"SMT","ART R LEG","Leg, right, artificial","Other","","",""
"SMT","ART SHLD","Artificial shoulder joint","Other","","",""
"SMT","BALD","Bald/balding","Condition","","",""
"SMT","BLIND","Blind, both eyes","Condition","","",""
"SMT","BLND EYE","Blind, one eye, nonspecific","Condition","","",""
"SMT","BLND L EYE","Blind, left eye","Condition","","",""
"SMT","BLND R EYE","Blind, right eye","Condition","","",""
"SMT","BRA LR ARM","Brace, left and right arms","Other","","",""
"SMT","BRA LR LEG","Brace, left and right legs","Other","","",""
"SMT","BRAC ARM","Brace, one arm, nonspecific","Other","","",""
"SMT","BRAC L ARM","Brace, left arm","Other","","",""
"SMT","BRAC L LEG","Brace, left leg","Other","","",""
"SMT","BRAC LEG","Brace, one leg, nonspecific","Other","","",""
"SMT","BRAC R ARM","Brace, right arm","Other","","",""
"SMT","BRAC R LEG","Brace, right leg","Other","","",""
"SMT","BRAC TEETH","Braces, teeth","Other","","",""
"SMT","BRACE BACK","Brace, back","Other","","",""
"SMT","BRACE NECK","Brace, neck","Other","","",""
"SMT","CANE","Cane","Other","","",""
"SMT","CARD PACEM","Cardiac pacemaker","Other","","",""
"SMT","CATA L EYE","Cataract, left eye","Condition","","",""
"SMT","CATA R EYE","Cataract, right eye","Condition","","",""
"SMT","CATARACT","Cataract, (nonspecific)","Condition","","",""
"SMT","CAUL L EAR","Cauliflower ear, left","Condition","","",""
"SMT","CAUL R EAR","Cauliflower ear, right","Condition","","",""
"SMT","CL LIP","Cleft lip","Condition","","",""
"SMT","CLEFT CHIN","Cleft chin","Condition","","",""
"SMT","CLEFT PAL","Cleft palate","Condition","","",""
"SMT","COLOST APP","Colostomy appliances","Other","","",""
"SMT","CON LENSES","Contact lenses","Other","","",""
"SMT","CRIP L ARM","Crippled arm, left","Condition","","",""
"SMT","CRIP L FGR","Crippled finger(s), left hand (2)","Condition","","",""
"SMT","CRIP L FT","Crippled foot, left (3)","Condition","","",""
"SMT","CRIP L HND","Crippled hand, left","Condition","","",""
"SMT","CRIP L LEG","Crippled leg, left","Condition","","",""
"SMT","CRIP L TOE","Crippled toe(s), left (4)","Condition","","",""
"SMT","CRIP R ARM","Crippled arm, right","Condition","","",""
"SMT","CRIP R FGR","Crippled finger(s), right hand (2)","Condition","","",""
"SMT","CRIP R FT","Crippled foot, right (3)","Condition","","",""
